game_id,mechanic_id
104006,23
148228,14
148228,11
555,13
555,18
31627,14
31627,3
31627,20
31627,11
128621,3
128621,23
215,42
215,3
215,26
215,43
188,24
196340,2
196340,4
196340,20
196340,11
196340,23
10630,15
10630,16
10630,17
10630,2
10630,3
10630,4
10630,41
182874,17
182874,3
182874,11
129437,1
129437,22
233078,15
233078,19
233078,34
233078,17
233078,35
233078,4
233078,11
233078,12
233078,21
233078,8
233078,36
9209,14
9209,3
9209,20
9209,11
172287,17
172287,11
172287,23
154203,14
154203,3
154203,37
154203,8
20551,0
20551,15
20551,19
20551,13
20551,6
20551,21
31481,17
31481,26
31481,18
146439,16
146439,17
146439,2
146439,4
146439,8
101721,17
101721,2
101721,6
101721,8
234,15
234,16
234,17
234,10
234,41
155821,15
155821,19
155821,14
155821,3
155821,25
155821,4
155821,18
155821,21
54998,15
54998,19
54998,13
54998,14
54998,17
54998,11
54998,21
7854,2
7854,28
140620,14
140620,22
140620,3
140620,10
140620,23
22545,15
22545,11
22545,23
97207,13
97207,3
97207,23
12,13
12,29
12,11
93260,17
93260,2
93260,3
93260,8
24181,15
24181,19
24181,38
59294,15
59294,19
59294,13
59294,4
59294,6
59294,8
822,15
822,18
38453,0
38453,19
38453,1
38453,3
38453,6
193037,9
193037,19
193037,1
193037,17
193037,3
193037,29
193037,7
193037,8
193037,36
25021,3
25021,10
25021,30
181304,1
181304,3
181304,31
19857,14
19857,3
19857,11
19857,21
127060,17
127060,11
127060,23
118048,4
118048,11
118048,23
172818,9
172818,14
172818,22
172818,17
172818,11
172818,7
172818,12
192291,14
192291,3
192291,11
192291,6
48726,15
48726,14
48726,17
48726,23
176494,13
176494,11
176494,18
27708,15
27708,16
27708,3
108745,14
108745,17
108745,3
108745,37
155873,13
155873,20
463,3
463,27
463,37
82222,9
82222,17
82222,2
82222,4
82222,32
82222,44
82222,18
82222,8
181279,26
181279,10
181279,30
181279,8
92828,26
92828,6
92828,7
92828,36
66589,19
17392,16
17392,17
17392,3
17392,10
17392,8
421,13
421,20
421,38
421,18
54138,15
54138,19
54138,38
41114,26
41114,6
41114,36
77130,14
77130,22
77130,2
77130,3
77130,4
77130,45
77130,12
77130,8
3,15
3,3
3,11
3,18
119890,24
119890,18
119890,23
760,3
760,11
156129,26
163745,0
163745,17
163745,8
45315,0
45315,3
45315,6
45315,18
45315,23
1,15
1,13
1,17
1,3
1,6
40692,15
40692,19
40692,17
40692,8
59959,25
59959,26
59959,10
59959,30
195421,14
195421,17
195421,20
195421,11
195421,7
195421,8
195421,23
163068,0
163068,9
163068,6
163068,18
163068,23
36932,17
36932,4
36932,8
176920,15
176920,3
176920,6
224037,1
182631,22
15985,17
15985,2
15985,8
39856,6
39856,7
39856,36
160477,2
160477,3
198773,25
198773,26
198773,31
198773,29
37046,1
37046,17
37046,2
37046,4
37046,8
123123,3
123123,10
123123,6
123123,8
243,13
243,17
243,35
243,4
243,29
243,30
243,41
243,33
243,8
161533,15
161533,14
161533,3
161533,18
136888,17
136888,3
162886,14
162886,1
162886,3
162886,4
162886,6
162886,8
25292,9
25292,19
25292,17
25292,32
25292,8
19777,15
19777,13
19777,32
19777,38
124708,19
124708,1
124708,17
124708,5
124708,7
124708,8
33160,15
33160,14
33160,11
204583,14
204583,28
204583,18
204583,21
144344,15
144344,14
144344,22
144344,3
144344,11
40765,9
40765,17
40765,2
40765,3
40765,4
40765,12
40765,8
200680,24
200680,14
200680,3
200680,23
63628,14
63628,23
70919,9
70919,17
70919,2
70919,4
70919,28
70919,11
70919,18
2655,2
2655,18
129622,3
129622,27
5,3
5,38
5,18
143693,14
143693,11
143693,6
143693,18
143693,21
121,15
121,19
121,13
121,3
121,26
121,8
21241,3
21241,35
21241,27
21241,18
21241,8
170042,3
170042,11
170042,23
197376,23
188834,26
188834,27
188834,36
25554,15
25554,14
25554,10
172081,9
172081,1
172081,17
172081,2
172081,4
172081,8
203993,14
203993,17
203993,8
203993,23
31594,3
31594,21
176734,17
176734,23
198994,14
198994,22
198994,3
54,9
54,15
54,13
54,2
54,11
54,18
54625,9
54625,17
54625,2
54625,4
109276,9
109276,39
109276,21
109276,23
71,15
71,19
71,3
71,11
71,12
70323,15
70323,14
70323,17
70323,27
70323,29
139976,9
139976,19
139976,17
139976,8
46213,40
46213,46
105134,19
105134,14
105134,17
105134,27
105134,8
8217,3
8217,11
8217,21
9217,14
9217,11
118,13
118,39
118,3
2653,9
2653,17
2653,2
2653,25
2653,4
2653,30
191189,14
191189,1
191189,22
191189,3
191189,21
191189,8
21348,14
21348,3
21348,10
21348,20
21348,11
24480,23
175640,15
175640,21
175640,23
199561,17
199561,28
199561,11
15987,1
15987,17
15987,3
15987,10
15987,5
15987,8
13122,4
13122,18
13122,12
157969,14
157969,3
157969,5
157969,11
163967,15
163967,17
163967,8
79828,15
79828,14
79828,22
79828,3
79828,10
39683,14
39683,11
90137,15
90137,14
90137,22
90137,17
90137,3
209685,14
209685,22
209685,3
209685,11
55670,9
55670,14
55670,17
55670,3
55670,32
55670,20
55670,11
176396,3
176396,28
176396,11
176396,18
128996,15
128996,19
128996,16
128996,17
128996,26
128996,8
712,17
712,2
712,8
96913,15
96913,13
96913,36
96913,23
66188,0
66188,2
66188,11
66188,6
40354,3
40354,10
40354,30
40354,41
25417,16
25417,17
25417,2
25417,3
25417,4
25417,8
154809,15
154809,21
183562,0
183562,17
183562,8
144592,13
144592,14
144592,4
144592,23
83330,19
83330,17
83330,3
83330,4
83330,26
83330,32
83330,5
83330,8
18833,19
18833,3
18833,30
18833,6
18833,8
147949,5
147949,8
147949,36
100901,9
100901,1
100901,17
100901,2
100901,32
100901,41
100901,8
66362,39
66362,17
66362,2
66362,11
66362,18
66362,33
150658,1
150658,17
150658,3
150658,10
150658,29
150658,11
150658,8
203420,1
182134,9
182134,3
182134,29
182134,30
182134,41
5404,15
5404,13
65781,14
65781,3
73171,9
73171,14
