game_id,name,description_url,players_min_amount,players_max_amount,duration,release_year,rating,picture,player_min_age,mechanics,categories,game_designers
168274,Mistfall,https://boardgamegeek.com/boardgame/168274/mistfall,1,4,120,2015,6.56277,https://cf.geekdo-images.com/images/pic2410035.png,14,"['Co-operative Play' ' Deck / Pool Building' ' Hand Management'
 ' Modular Board' ' Variable Player Powers']",['Adventure' ' Card Game' ' Fantasy'],['B?a?ej Kubacki']
19427,Gemblo,https://boardgamegeek.com/boardgame/19427/gemblo,2,6,30,2005,6.522605,https://cf.geekdo-images.com/images/pic1876379.jpg,6,['none'],['Abstract Strategy'],['Justin Oh']
348,Merchants of the Middle Ages,https://boardgamegeek.com/boardgame/348/merchants-middle-ages,2,4,120,1999,6.494095,https://cf.geekdo-images.com/images/pic1305697.jpg,10,['Commodity Speculation' ' Pick-up and Deliver' ' Variable Player Powers'],['Economic' ' Medieval' ' Negotiation' ' Transportation'],['Wolfgang Kramer' ' Richard Ulrich']
39188,Liberty Roads,https://boardgamegeek.com/boardgame/39188/liberty-roads,2,2,960,2009,7.167835,https://cf.geekdo-images.com/images/pic436113.jpg,0,['Dice Rolling' ' Hex-and-Counter' ' Simulation'],['Wargame' ' World War II'],['Yves le Quellec' ' Nicolas Rident']
154301,The Battle at Kemble's Cascade,https://boardgamegeek.com/boardgame/154301/battle-kembles-cascade,1,5,75,2014,6.520355,https://cf.geekdo-images.com/images/pic1926145.jpg,13,"['Grid Movement' ' Hand Management' ' Partnerships'
 ' Simultaneous Action Selection']",['Science Fiction' ' Video Game Theme'],['Anders Tyrland' ' Olle Tyrland']
7,Cathedral,https://boardgamegeek.com/boardgame/7/cathedral,2,2,20,1978,6.35023,https://cf.geekdo-images.com/images/pic181642.jpg,8,"['Area Enclosure' ' Pattern Building' ' Pattern Recognition'
 ' Tile Placement']",['Abstract Strategy'],['Robert P. Moore']
158109,Onward to Venus,https://boardgamegeek.com/boardgame/158109/onward-venus,2,5,120,2014,6.56648,https://cf.geekdo-images.com/images/pic1993102.jpg,0,"['Area Control / Area Influence' ' Dice Rolling' ' Hand Management'
 ' Point to Point Movement']","['Comic Book / Strip' ' Fighting' ' Science Fiction' ' Space Exploration'
 ' Transportation']",['Martin Wallace']
188866,Incómodos Invitados,https://boardgamegeek.com/boardgame/188866/incomodos-invitados,2,8,75,2016,7.0473099999999995,https://cf.geekdo-images.com/images/pic3476000.png,12,['Card Drafting' ' Hand Management' ' Trading'],"['Card Game' ' Deduction' ' Humor' ' Movies / TV / Radio theme'
 ' Murder/Mystery']",['Ron Gonzalo García']
156501,Greenland,https://boardgamegeek.com/boardgame/156501/greenland,1,3,120,2014,6.659775,https://cf.geekdo-images.com/images/pic3936687.jpg,12,['Auction/Bidding' ' Dice Rolling' ' Simulation' ' Worker Placement'],['Card Game' ' Economic' ' Medieval' ' Negotiation'],['Phil Eklund' ' Philipp Klarmann']
23107,Drakon (third edition),https://boardgamegeek.com/boardgame/23107/drakon-third-edition,2,6,40,2006,6.3558900000000005,https://cf.geekdo-images.com/images/pic153409.jpg,10,"['Grid Movement' ' Modular Board' ' Route/Network Building'
 ' Tile Placement' ' Variable Player Powers']",['Fantasy' ' Maze'],['Tom Jolly']
112092,Shadowrift,https://boardgamegeek.com/boardgame/112092/shadowrift,1,6,120,2012,6.68415,https://cf.geekdo-images.com/images/pic2570089.jpg,14,['Co-operative Play' ' Deck / Pool Building' ' Hand Management'],['Card Game' ' Fantasy'],['Jeremy Anderson']
19348,Byzantium,https://boardgamegeek.com/boardgame/19348/byzantium,2,4,180,2005,6.508005,https://cf.geekdo-images.com/images/pic93883.jpg,13,"['Area Control / Area Influence' ' Dice Rolling'
 ' Point to Point Movement' ' Worker Placement']",['Arabian' ' Medieval' ' Political' ' Wargame'],['Martin Wallace']
108,TAMSK,https://boardgamegeek.com/boardgame/108/tamsk,2,2,20,1998,6.488475,https://cf.geekdo-images.com/images/pic54775.jpg,8,['Area Enclosure' ' Grid Movement'],['Abstract Strategy' ' Real-time'],['Kris Burm']
17240,That's Life!,https://boardgamegeek.com/boardgame/17240/s-life,2,6,30,2005,6.353125,https://cf.geekdo-images.com/images/pic108094.jpg,8,['Dice Rolling' ' Modular Board' ' Roll / Spin and Move'],['Humor'],['Michael Kiesling' ' Wolfgang Kramer']
798,Ace of Aces: Handy Rotary Series,https://boardgamegeek.com/boardgame/798/ace-aces-handy-rotary-series,2,2,20,1980,6.58971,https://cf.geekdo-images.com/images/pic896670.jpg,10,['Simulation' ' Simultaneous Action Selection'],['Aviation / Flight' ' Book' ' Wargame' ' World War I'],['Doug Kaufman' ' Alfred Leonardi']
1044,Gunslinger,https://boardgamegeek.com/boardgame/1044/gunslinger,1,7,90,1982,6.644915,https://cf.geekdo-images.com/images/pic184259.jpg,12,"['Action / Movement Programming' ' Hex-and-Counter' ' Modular Board'
 ' Simultaneous Action Selection' ' Variable Player Powers']",['American West' ' Fighting' ' Wargame'],['Richard Hamblen']
15954,Conquest of Paradise,https://boardgamegeek.com/boardgame/15954/conquest-paradise,1,4,90,2007,6.534419999999999,https://cf.geekdo-images.com/images/pic3207152.jpg,12,"['Area Control / Area Influence' ' Route/Network Building'
 ' Secret Unit Deployment' ' Simulation' ' Tile Placement']",['Ancient' ' Civilization' ' Exploration' ' Nautical'],['Kevin McPartland']
31479,Ubongo Extreme,https://boardgamegeek.com/boardgame/31479/ubongo-extreme,2,4,30,2007,6.515045000000001,https://cf.geekdo-images.com/images/pic506918.jpg,8,['Pattern Building'],['Puzzle' ' Real-time'],['Grzegorz Rejchtman']
2529,Flat Top,https://boardgamegeek.com/boardgame/2529/flat-top,2,2,360,1977,6.739525,https://cf.geekdo-images.com/images/pic806423.jpg,12,['Dice Rolling' ' Hex-and-Counter' ' Secret Unit Deployment'],['Aviation / Flight' ' Nautical' ' Wargame' ' World War II'],['S. Craig Taylor']
202426,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant,https://boardgamegeek.com/boardgame/202426/sidereal-confluence-trading-and-negotiation-elysia,4,9,180,2017,7.0950299999999995,https://cf.geekdo-images.com/images/pic3476762.png,14,['Auction/Bidding' ' Trading' ' Variable Player Powers'],['Economic' ' Negotiation' ' Science Fiction'],['TauCeti Deichmann']
20,Full Metal Planète,https://boardgamegeek.com/boardgame/20/full-metal-planete,2,4,90,1988,6.8074650000000005,https://cf.geekdo-images.com/images/pic451783.jpg,12,['Action Point Allowance System'],['Science Fiction'],['Gérard Delfanti' ' Gérard Mathieu' ' Pascal Trigaux']
140535,Kory?,https://boardgamegeek.com/boardgame/140535/kory,2,4,20,2013,6.488525000000001,https://cf.geekdo-images.com/images/pic1858262.jpg,13,['Set Collection' ' Simultaneous Action Selection'],['Card Game'],['Gary Kim']
193308,Spyfall 2,https://boardgamegeek.com/boardgame/193308/spyfall-2,3,12,10,2017,6.735119999999999,https://cf.geekdo-images.com/images/pic2880773.jpg,13,['Acting' ' Memory' ' Role Playing' ' Voting'],['Bluffing' ' Deduction' ' Party Game' ' Spies/Secret Agents'],['Alexandr Ushan']
1042,Dragon's Gold,https://boardgamegeek.com/boardgame/1042/dragons-gold,3,6,45,2001,6.334205,https://cf.geekdo-images.com/images/pic2410752.jpg,12,['Hand Management' ' Set Collection' ' Trading'],['Card Game' ' Fantasy' ' Fighting' ' Negotiation'],['Bruno Faidutti']
156138,Happy Pigs,https://boardgamegeek.com/boardgame/156138/happy-pigs,2,6,45,2013,6.576905,https://cf.geekdo-images.com/images/pic2830958.jpg,8,['Simultaneous Action Selection'],['Animals' ' Economic' ' Farming'],['Kuraki Mura']
35488,The Name of the Rose,https://boardgamegeek.com/boardgame/35488/name-rose,2,5,75,2008,6.481365,https://cf.geekdo-images.com/images/pic3850166.jpg,0,['Secret Unit Deployment' ' Worker Placement'],['Bluffing' ' Deduction' ' Medieval' ' Murder/Mystery' ' Novel-based'],['Stefan Feld']
189052,Sea of Clouds,https://boardgamegeek.com/boardgame/189052/sea-clouds,2,4,45,2016,6.5351799999999995,https://cf.geekdo-images.com/images/pic3585484.jpg,10,['Card Drafting' ' Press Your Luck' ' Set Collection'],['Card Game' ' Pirates'],['Théo Rivière']
320,Scrabble,https://boardgamegeek.com/boardgame/320/scrabble,2,4,90,1948,6.242465,https://cf.geekdo-images.com/images/pic404651.jpg,10,['Hand Management' ' Tile Placement'],['Word Game'],['Alfred Mosher Butts']
119012,The Capitals,https://boardgamegeek.com/boardgame/119012/capitals,2,5,120,2013,6.6072500000000005,https://cf.geekdo-images.com/images/pic1701352.jpg,13,['Action Point Allowance System' ' Card Drafting' ' Tile Placement'],['City Building' ' Economic'],['Thiago Boaventura']
234277,Nusfjord,https://boardgamegeek.com/boardgame/234277/nusfjord,1,5,100,2017,6.84793,https://cf.geekdo-images.com/images/pic3729114.png,12,['Worker Placement'],['Economic'],['Uwe Rosenberg']
2603,The Lord of the Rings Trading Card Game,https://boardgamegeek.com/boardgame/2603/lord-rings-trading-card-game,2,6,45,2001,6.52458,https://cf.geekdo-images.com/images/pic212859.jpg,12,['Hand Management'],"['Adventure' ' Card Game' ' Collectible Components' ' Fantasy'
 ' Movies / TV / Radio theme']",['Chuck Kallenbach' ' Tom Lischke' ' Mike Reynolds']
3085,Gang of Four,https://boardgamegeek.com/boardgame/3085/gang-four,3,4,40,1990,6.39475,https://cf.geekdo-images.com/images/pic149652.jpg,8,['Hand Management' ' Set Collection' ' Trick-taking'],['Card Game' ' Political'],['Lee Yih']
180564,Carcassonne: Star Wars,https://boardgamegeek.com/boardgame/180564/carcassonne-star-wars,2,5,35,2015,6.52017,https://cf.geekdo-images.com/images/pic2602614.jpg,7,['Dice Rolling' ' Tile Placement'],['Movies / TV / Radio theme' ' Science Fiction'],['Klaus-Jürgen Wrede']
1491,Outpost,https://boardgamegeek.com/boardgame/1491/outpost,2,9,150,1991,6.5194350000000005,https://cf.geekdo-images.com/images/pic1083946.jpg,12,['Auction/Bidding'],['Economic' ' Science Fiction'],['James Hlavaty' ' Timothy Moore']
163,Balderdash,https://boardgamegeek.com/boardgame/163/balderdash,2,6,60,1984,6.30131,https://cf.geekdo-images.com/images/pic40574.jpg,12,['Paper-and-Pencil' ' Voting'],['Bluffing' ' Party Game' ' Word Game'],['Laura Robinson' ' Paul Toyne']
